Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield,remaining_volume,price,expiry_date,diff,recommendations
3423 Ersigen,47.0939692,7.6003717,10.025551162218656,6.093019800442433,14.428937034840072,3.980400070520424,0.25,7.502363139208445,26.053270873515206,0.3018055326026236,7220.271386050916,8228.839214759366,197,50.08,2025-10-25,-0.1225650182712852,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, reasonable price, predicted surplus""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Second closest expiry date, lowest price, predicted surplus""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Third closest expiry date, reasonable price, predicted surplus""}]}"
4242 Laufen,47.41995210000001,7.5006735,11.229003520736509,6.964965925442073,15.950025880068369,2.343541059212652,1.535635284047455,8.028325595911634,27.6600963473166,0.2182409337563326,6810.211575485822,6016.05909612925,130,19.57,2025-10-22,0.1320054319060017,
4460 Gelterkinden,47.4642264,7.8555368,11.263054119174567,7.1777664195394495,15.831806430358233,2.4650961962930373,1.070104906166559,7.161504400239546,25.570936604547217,0.2443087999336748,6453.494968390713,7083.527363226113,497,92.87,2025-10-21,-0.0889433134833629,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, reasonable price, and predicted surplus""}, {""supplier"": ""3360 Herzogenbuchsee"", ""reasoning"": ""Second closest expiry date, reasonable price, and predicted surplus""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Third closest expiry date, reasonable price, and predicted surplus""}]}"
4538 Oberbipp,47.259886,7.6626583,10.976470276799311,6.849967881211126,15.540941171149829,2.3542353677504138,1.070104906166559,7.038269531617988,25.428397784882875,0.2475773875111865,7753.201530943526,6984.070339332799,312,99.18,2025-10-17,0.1101264956166239,
4917 Melchnau,47.1814972,7.8487757,10.10739793520116,6.317281407070827,14.337521381302563,3.7950369071047807,0.25,7.643578265544434,26.71621211834685,0.3157380914759276,7698.681459551791,8455.429093037481,292,66.71,2025-10-22,-0.0894984305537875,"{""recommendations"": [{""supplier"": ""5074 Eiken"", ""reasoning"": ""Closest expiry date, reasonable price, predicted surplus""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Second closest expiry date, reasonable price, predicted surplus""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Third closest expiry date, reasonable price, predicted surplus""}]}"
4950 Huttwil,47.112213,7.8491741,9.2449459688988,5.639142446629904,13.26990179562378,3.829772249334445,0.25,8.400803943083146,28.307236629569783,0.2710888816474981,6246.603289684518,7450.488730897287,424,44.81,2025-10-31,-0.1615847610399352,"{""recommendations"": [{""supplier"": ""5074 Eiken"", ""reasoning"": ""Supplier has the soonest expiry date, lower price, and a positive diff indicating surplus.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Supplier has a positive diff indicating surplus and is in a close region.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Supplier has a positive diff indicating surplus, reasonable price, and is in a close region.""}]}"
5074 Eiken,47.5343174,7.9878434,10.919284819353996,6.917778354998745,15.416634973826689,3.3738259748027395,21.41255812291378,7.091215711533198,25.16138337629856,0.2732418332286757,7348.590536843262,7578.152018989562,58,23.3,2025-10-10,-0.0302925411856422,"{""recommendations"": [{""supplier"": ""3292 Busswil b. B\u00fcren"", ""reasoning"": ""Closest expiry date, reasonable price, predicted surplus""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Close expiry date, reasonable price, predicted surplus""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Close expiry date, reasonable price, predicted surplus""}]}"
5610 Wohlen,47.3501938,8.2790485,10.83940514807612,6.979691737774903,15.129079448710856,2.70996015709294,0.3282489257562448,7.203803836561882,26.40489560542952,0.211299954184233,6779.927898235766,5787.242536564262,391,33.5,2025-10-13,0.1715299394140886,
5742 Kölliken,47.3341488,8.0216498,11.062456451931412,7.151727778695868,15.490734488780303,2.8037686397811257,0.25,6.7692459383216255,25.0441067758752,0.263399158597204,6751.133187027177,7112.650376149412,181,95.77,2025-10-24,-0.0508273526749603,"{""recommendations"": [{""supplier"": ""5074 Eiken"", ""reasoning"": ""Closest expiry date, low price, and predicted surplus.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Second closest expiry date, reasonable price, and predicted surplus.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Third closest expiry date, reasonable price, and predicted surplus.""}]}"
9494 Schaan (FL),47.1667928,9.5112894,9.625141103805037,5.985632033998225,13.646085911593046,5.095111970363036,191.43425917796355,8.149749991321592,30.46801314432628,0.2423053506103442,6166.976370151921,6260.847296323365,331,83.81,2025-10-28,-0.0149933262589823,"{""recommendations"": [{""supplier"": ""3292 Busswil b. B\u00fcren"", ""reasoning"": ""Closest expiry date, low price, and high chance of surplus.""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Second closest expiry date, low price, and moderate chance of surplus.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Third closest expiry date, low price, and high chance of surplus.""}]}"
